2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_all_tools:159 | Discovering tools...
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: black
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: black
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: sqlfluff
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: sqlfluff
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: markdownlint
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: markdownlint
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: clippy
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: clippy
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: oxfmt
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: oxfmt
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: prettier
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: prettier
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: actionlint
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: actionlint
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: semgrep
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: semgrep
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: astro-check
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: astro_check
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.registry:register:78 | Registered tool: svelte-check
2026-02-09 10:51:04 | DEBUG    | lintro.plugins.discovery:discover_builtin_tools:63 | Loaded builtin tool: svelte_check
